Date,precipitable_water_entire_atmosphere,relative_humidity_2m_above_ground,specific_humidity_2m_above_ground,temperature_2m_above_ground,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground
2018-01-01,24.10000038146973,72.70000457763672,0.009560000151395798,15.1614929199219,-0.012186278589069843,-0.93391352891922
2018-01-02,27.362287521362305,74.9000015258789,0.010462524369359016,16.047998046875026,0.3145434558391571,-0.4854589700698853
2018-01-03,30.246618270874023,86.5999984741211,0.01193000003695488,15.838525390625026,-0.2827319204807281,-0.6539648175239563
2018-01-04,33.01068878173828,90.9000015258789,0.012779999524354936,16.169244384765648,0.21157225966453552,0.9081225395202636
2018-01-05,27.2503719329834,82.4133529663086,0.01139152329415083,15.9234558105469,1.0472754240036009,-0.03774169832468033
2018-01-06,24.30000114440918,81.30000305175781,0.010660000145435332,15.1249938964844,-0.3676904141902924,-1.7204101085662842
2018-01-07,23.80000114440918,74.73505401611328,0.009574571624398232,14.816247558593775,0.5440039038658142,-0.8132665753364563
2018-01-08,20.600629806518555,64.90000152587889,0.00817999988794327,14.496667480468775,-0.0038159179966896772,-1.861772418022156
2018-01-09,21.7869873046875,72.59728240966797,0.009780955500900744,15.58709106445315,-0.6003930568695068,-0.6937011480331421
2018-01-10,22.0,68.07369232177734,0.008876207284629345,15.0629821777344,-0.8842065334320068,-1.4809716939926147
2018-01-11,27.70000076293945,83.37598419189453,0.011370238848030569,15.711389160156275,-1.5246862173080444,-0.7494629025459291
2018-01-12,24.60000038146973,72.30000305175781,0.008959999307990074,14.288537597656275,-0.07512450963258742,-0.9004541039466858
2018-01-13,23.4139461517334,76.9000015258789,0.009370000101625921,13.981530761718775,-2.300966739654541,-1.7737841606140137
2018-01-14,23.399999618530273,71.4000015258789,0.008619999513030052,13.847192382812526,-1.326642990112305,-1.2119848728179932
2018-01-15,19.899999618530273,49.9000015258789,0.0073899999260902405,17.023248291015648,-1.1594702005386353,-0.6330419778823853
2018-01-16,18.100000381469727,50.5,0.006569999735802412,14.979638671875026,0.03876220434904098,-1.5345703363418581
2018-01-17,18.113012313842773,78.0999984741211,0.0094200000166893,13.8084655761719,-0.9218725562095642,-0.7400707602500916
2018-01-18,20.9375057220459,81.9000015258789,0.0104799997061491,14.711938476562526,-1.5314575433731081,-1.8585302829742432
2018-01-19,20.6888370513916,69.5,0.008949999697506428,14.8140808105469,-0.9694042801856996,-1.595314860343933
2018-01-20,23.399999618530273,91.4000015258789,0.012120003812015057,15.23406372070315,-2.393378734588623,-1.3530858755111694
2018-01-21,18.81626892089844,69.90000152587889,0.008929999545216559,14.713586425781275,-1.17535400390625,-2.110800743103028
2018-01-22,14.572131156921387,62.9000015258789,0.00791999977082014,14.4414001464844,-1.8289233446121216,-2.5336570739746094
2018-01-23,18.406721115112305,56.70000076293945,0.007689999882131816,15.59929809570315,-1.7039355039596558,-1.7939550876617432
